"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57","Update User","Sample Collection","Sun Mar 16 20:24:12 IST 2025","broken","Sun Mar 16 20:24:12 IST 2025","","","",""
"","69","Get Users","Sample Collection","Sun Mar 16 20:24:12 IST 2025","broken","Sun Mar 16 20:24:12 IST 2025","","","",""
"","67","Create User","Sample Collection","Sun Mar 16 20:24:12 IST 2025","broken","Sun Mar 16 20:24:12 IST 2025","","","",""
"","55","Delete User","Sample Collection","Sun Mar 16 20:24:12 IST 2025","broken","Sun Mar 16 20:24:12 IST 2025","","","",""
